InputId,EncodedOutput
0,ability
1,able
2,abound
3,about
4,above
5,absorbing
6,abundant
7,accept
8,accessible
9,acclaim
10,accolade
11,accommodating
12,accomplished
13,according
14,account
15,accurate
16,across
17,act
18,action
19,activity
20,actually
21,add
22,address
23,administration
24,admit
25,adorable
26,adroit
27,adult
28,adventurous
29,affable
30,affect
31,affection
32,affirm
33,after
34,again
35,against
36,age
37,agency
38,agent
39,aglow
40,ago
41,agree
42,agreeable
43,agreement
44,ahead
45,air
46,all
47,allow
48,almost
49,alone
50,along
51,already
52,also
53,although
54,always
55,American
56,among
57,amount
58,amplify
59,amusing
60,analysis
61,and
62,Angelic
63,animal
64,another
65,answer
66,any
67,anyone
68,anything
69,appear
70,apply
71,approach
72,ardor
73,area
74,argue
75,arm
76,around
77,arrive
78,art
79,article
80,artist
81,as
82,ask
83,assume
84,at
85,attack
86,attention
87,attentive
88,attorney
89,audience
90,auspicious
91,authentic
92,author
93,authority
94,available
95,avoid
96,away
97,awesome
98,baby
99,back
100,bad
101,bag
102,ball
103,bank
104,bar
105,base
106,be
107,beat
108,beautiful
109,because
110,become
111,bed
112,before
113,begin
114,behavior
115,behind
116,believe
117,benefit
118,best
119,better
120,between
121,beyond
122,big
123,bill
124,billion
125,bit
126,black
127,blood
128,blue
129,board
130,body
131,book
132,born
133,both
134,box
135,boy
136,break
137,bring
138,brother
139,budget
140,build
141,building
142,business
143,but
144,buy
145,by
146,call
147,camera
148,campaign
149,can
150,cancer
151,candidate
152,capital
153,car
154,card
155,care
156,career
157,carry
158,case
159,catch
160,cause
161,cell
162,center
163,central
164,century
165,certain
166,certainly
167,chair
168,challenge
169,chance
170,change
171,character
172,charge
173,check
174,child
175,choice
176,choose
177,church
178,citizen
179,city
180,civil
181,claim
182,class
183,clear
184,clearly
185,close
186,coach
187,cold
188,collection
189,college
190,color
191,come
192,commercial
193,common
194,community
195,company
196,compare
197,computer
198,concern
199,condition
200,conference
201,Congress
202,consider
203,consumer
204,contain
205,continue
206,control
207,cost
208,could
209,country
210,couple
211,course
212,court
213,cover
214,create
215,crime
216,cultural
217,culture
218,cup
219,current
220,customer
221,cut
222,dark
223,data
224,daughter
225,day
226,dead
227,deal
228,death
229,debate
230,decade
231,decide
232,decision
233,deep
234,defense
235,degree
236,Democrat
237,democratic
238,describe
239,design
240,despite
241,detail
242,determine
243,develop
244,development
245,die
246,difference
247,different
248,difficult
249,dinner
250,direction
251,director
252,discover
253,discuss
254,discussion
255,disease
256,do
257,doctor
258,dog
259,door
260,down
261,draw
262,dream
263,drive
264,drop
265,drug
266,during
267,each
268,early
269,east
270,easy
271,eat
272,economic
273,economy
274,edge
275,education
276,effect
277,effort
278,eight
279,either
280,election
281,else
282,employee
283,end
284,energy
285,enjoy
286,enough
287,enter
288,entire
289,environment
290,environmental
291,especially
292,establish
293,even
294,evening
295,event
296,ever
297,every
298,everybody
299,everyone
300,everything
301,evidence
302,exactly
303,example
304,executive
305,exist
306,expect
307,experience
308,expert
309,explain
310,eye
311,face
312,fact
313,factor
314,fail
315,fall
316,family
317,far
318,fast
319,father
320,fear
321,federal
322,feel
323,feeling
324,few
325,field
326,fight
327,figure
328,fill
329,film
330,final
331,finally
332,financial
333,find
334,fine
335,finger
336,finish
337,fire
338,firm
339,first
340,fish
341,five
342,floor
343,fly
344,focus
345,follow
346,food
347,foot
348,for
349,force
350,foreign
351,forget
352,form
353,former
354,forward
355,four
356,free
357,friend
358,from
359,front
360,full
361,fund
362,future
363,game
364,garden
365,gas
366,general
367,generation
368,get
369,girl
370,give
371,glass
372,go
373,goal
374,good
375,government
376,great
377,green
378,ground
379,group
